# 教学定级覆盖 —— 我们明确不同意 NGSL 词频的地方。
#
# 格式:lemma <TAB> teach_band <TAB> 理由(三列,理由必填)
#
# 只改 teach_band(内容校验的越级判定看它)。`band`(NGSL 词频 rank)一概不动 ——
# 定级测试按 band 分层估算词汇量,把 milk 从 950 改到 220 会让"认识 milk"
# 只记 220 词,低估考生、误路由到更低的起步等级。两个数各管各的。
#
# 为什么需要这张表:band 取自**通用语料词频**。hello 在新闻与学术语料里罕见,
# NGSL rank 2811,于是"你好"在 L1–L5 全部算越级;milk 950、red 700、bag 600
# —— 初学者最先学的具体名词在 L1 一个都用不了。实测(2026-08-23,每场景 10 句):
#   问候与寒暄 L1  本级 9 / 改级 1
#   课堂用语   L1  本级 8 / 改级 2
#   超市购物   L1  本级 3 / 改级 6   ← apple/milk/bread/eggs 全部超 500 带
#
# 定级依据:CEFR A1 → 500 以内;A2 → 1000 以内。只收**具体、可指认、初学者
# 头几课就会遇到**的词;抽象词与低频义项一律不动,交给 NGSL。
#
# 词必须已经在 base.tsv 里 —— 新词请加进 supplement.tsv,这里只做重定级。
# `sf gold run` 会检查这一点。

# ---------------- 寒暄(A1 第一课)----------------
hello	30	初学第一个词;NGSL 2811 反映的是书面语稀有度,不是难度
goodbye	120	与 hello 成对,第一课内容
sorry	140	道歉三件套之一(sorry/please/thanks),A1 核心
welcome	480	店员与主人的高频招呼语

# ---------------- 颜色(A1 具体可指认)----------------
red	150	基础颜色词,A1 头几课
blue	155	同上
green	160	同上
yellow	165	同上
white	170	同上(NGSL 516,只差 16 却卡在 L1 门外)
brown	420	次一档颜色,A1 末
pink	430	同上
orange	440	同上;兼水果义
gray	450	同上(美式拼写)

# ---------------- 家庭与人(A1)----------------
brother	180	家庭成员,自我介绍必用
son	185	同上
daughter	190	同上
baby	195	同上

# ---------------- 身体部位(A1;看病/描述必用)----------------
foot	200	身体部位,A1
arm	205	同上
hair	210	同上
leg	215	同上
mouth	460	次一档身体部位
ear	465	同上
nose	470	同上

# ---------------- 食物饮品(A1 具体名词)----------------
milk	220	A1 饮品,点单第一课
bread	225	A1 主食
egg	230	A1 食物
rice	235	A1 主食(NGSL 2800 —— 通用语料罕见,中文母语者却天天用)
fish	240	A1 食物
apple	245	A1 水果
tea	250	A1 饮品
coffee	255	A1 饮品
meat	490	A2 类别词
fruit	495	同上
vegetable	500	同上
cake	620	A2 甜点
sugar	630	A2 调味
salt	635	A2 调味

# ---------------- 日常物品(A1)----------------
bag	260	随身物品,购物/机场必用
table	265	家具,餐厅必用
bed	270	家具,酒店必用
key	275	酒店/租房必用
box	280	快递/购物
window	285	房间描述
bus	290	出行方式
shoe	295	服装
chair	345	教室/房间物品,A1;先前定 640 仍卡在 L1 门外
clock	645	A2 时间
hat	650	A2 服装
coat	655	A2 服装

# ---------------- 场所(A1;问路与场景基础)----------------
park	300	问路目的地
bank	305	同上
hotel	310	同上
station	315	同上
street	320	问路必用
hospital	325	问路/看病
kitchen	660	A2 居家

# ---------------- 形容词(A1 描述)----------------
hot	330	温度,天气/点单必用
cold	335	同上
fine	340	"I'm fine" —— 第一课就出现
fast	345	速度
slow	350	速度
cheap	670	A2 购物
dirty	680	A2 描述
sad	685	A2 情绪

# ---------------- 动词(A1 动作)----------------
open	355	店铺/门,NGSL 520 只差 20
listen	360	课堂指令
drink	365	与 eat 成对
sleep	370	日常作息
wash	690	A2 家务

# ---------------- 天气(A1 闲聊第一话题)----------------
rain	375	天气闲聊,A1
sun	380	同上
wind	385	同上
weather	390	同上(话题词本身)
snow	395	天气闲聊 A1 —— 与 rain/sun/wind 同一课
sky	398	同上,描述天气的基本名词
cloud	705	A2 天气

# ---- 2026-08-23 跨等级摸底补入(L1/L3/L5 各两场景,115 句)----
# 都是同一类:场景的核心名词高于本级词带,句子被改级推到上一级。
bye	125	与 goodbye 成对,告别第一课;NGSL 1295 是书面语稀有度
tomorrow	340	A1 时间词,约时间/告别必用
cake	480	A1 具体食物,超市/点单场景核心词
sugar	485	同上,调味基础词
sweet	490	同上,描述口味的 A1 形容词
plate	1200	L3 餐饮场景核心名词
dish	1200	同上;询问菜品绕不开
stamp	1200	L3 邮寄场景核心名词
gift	1200	L3 邮寄/社交场景常用

# ---- 2026-08-23 问路/地点组(L1「问路」实跑暴露)----
# turn left / near here 是 A1 第一课,却因 NGSL 频次卡在 L1 门外。
left	152	方位词,问路第一课(turn left);NGSL 650 是书面语频次
near	158	同上(Is it near here?)
road	322	问路的基本名词,与 street 同档
stop	326	bus stop,问路/坐车必用
corner	620	A2 方位;转角在稍进阶的指路里出现
restaurant	400	A1 场所名词,问路与点餐都要
cinema	460	A1 场所名词(看电影场景亦用)
church	640	A2 场所名词,问路地标
museum	645	同上
pool	900	A2;swimming pool 在运动场景出现

# ---- 2026-08-23 L1「入门」类别实跑暴露(第四轮)----
# cat 的 NGSL band 是 1763 —— 一只猫。同一类问题:通用语料频次 ≠ 学习难度。
shirt	315	衣物,A1
wear	318	穿着的核心动词,A1
cat	205	A1 第一批具体名词;NGSL 1763 是通用语料频次
bird	208	同上
lunch	312	三餐词,A1
wake	348	作息核心动词,A1
wall	340	房间物品,A1
floor	342	房间物品,A1
picture	344	房间/教室物品,A1
thirsty	354	同上
warm	356	天气/感觉,A1

# ---- 2026-08-23 L1「入门」重跑暴露(第五轮,已收敛)----
hungry	350	身体感觉,A1(I am hungry 第一课)
hurt	355	描述不适的核心动词,A1(my leg hurts)
stomach	470	身体部位,A1 描述不适
desk	348	教室/房间物品,A1
dog	206	A1 第一批具体名词,与 cat 同档
breakfast	314	三餐词,与 lunch 同档
fresh	465	描述食物,A1
holiday	468	星期与日期话题,A1
visit	475	日常动词,A1
