# SentenceFlow 启动词典 — lemma<TAB>band<TAB>ipa_gb<TAB>ipa_us<TAB>zh_gloss
# band 依 NGSL 频率常识赋值;详见本目录 README.md
a	3	ə	ə	一(个)
afternoon	900	ˌɑːftəˈnuːn	ˌæftərˈnuːn	下午
and	4	ænd	ænd	和
apple	950	ˈæpəl	ˈæpəl	苹果
at	22	æt	æt	在
bag	600	bæɡ	bæɡ	包
bank	700	bæŋk	bæŋk	银行
be	2	biː	biː	是
big	210	bɪɡ	bɪɡ	大的
blue	800	bluː	bluː	蓝色的
book	280	bʊk	bʊk	书
bowl	1400	bəʊl	boʊl	碗
bread	1000	bred	bred	面包
bus	850	bʌs	bʌs	公交车
busy	1000	ˈbɪzi	ˈbɪzi	忙的
can	40	kæn	kæn	能
chicken	1000	ˈtʃɪkɪn	ˈtʃɪkɪn	鸡肉
classroom	480	ˈklɑːsruːm	ˈklæsruːm	教室
clean	480	kliːn	kliːn	干净的
cold	550	kəʊld	koʊld	冷的
come	70	kʌm	kʌm	来
cook	490	kʊk	kʊk	做饭
could	80	kʊd	kʊd	能(客气)
cup	800	kʌp	kʌp	杯子
day	90	deɪ	deɪ	天
do	18	duː	duː	做
doctor	460	ˈdɒktə	ˈdɑːktər	医生
every	170	ˈevri	ˈevri	每个
excuse	900	ɪkˈskjuːz	ɪkˈskjuːz	原谅
expensive	950	ɪkˈspensɪv	ɪkˈspensɪv	贵的
family	200	ˈfæməli	ˈfæməli	家庭
father	290	ˈfɑːðə	ˈfɑːðər	父亲
fish	900	fɪʃ	fɪʃ	鱼
fit	1000	fɪt	fɪt	合身
for	12	fɔː	fɔːr	为了
four	230	fɔː	fɔːr	四
free	600	friː	friː	有空的
friend	240	frend	frend	朋友
from	30	frɒm	frɑːm	从
get	45	ɡet	ɡet	得到
give	110	ɡɪv	ɡɪv	给
go	35	ɡəʊ	ɡoʊ	去
good	60	ɡʊd	ɡʊd	好的
grandparent	1450	ˈɡrænpeərənt	ˈɡrænperənt	祖父母
happy	340	ˈhæpi	ˈhæpi	开心的
have	9	hæv	hæv	有
here	120	hɪə	hɪr	这里
home	250	həʊm	hoʊm	家
how	50	haʊ	haʊ	怎样
i	1	aɪ	aɪ	我
in	6	ɪn	ɪn	在里面
it	8	ɪt	ɪt	它
kind	400	kaɪnd	kaɪnd	和善的
last	150	lɑːst	læst	上一个
left	650	left	left	左边
let	160	let	let	让
like	65	laɪk	laɪk	喜欢
little	180	ˈlɪtəl	ˈlɪtəl	小的
look	75	lʊk	lʊk	看
love	330	lʌv	lʌv	爱
lunch	850	lʌntʃ	lʌntʃ	午饭
me	26	miː	miː	我(宾格)
meet	380	miːt	miːt	见面
menu	1400	ˈmenjuː	ˈmenjuː	菜单
milk	950	mɪlk	mɪlk	牛奶
mother	270	ˈmʌðə	ˈmʌðər	母亲
much	140	mʌtʃ	mʌtʃ	许多
music	430	ˈmjuːzɪk	ˈmjuːzɪk	音乐
my	14	maɪ	maɪ	我的
name	190	neɪm	neɪm	名字
near	750	nɪə	nɪr	在附近
need	130	niːd	niːd	需要
new	100	njuː	nuː	新的
nice	450	naɪs	naɪs	好的
night	310	naɪt	naɪt	夜晚
nine	500	naɪn	naɪn	九
noodle	1500	ˈnuːdəl	ˈnuːdəl	面条
not	10	nɒt	nɑːt	不
now	95	naʊ	naʊ	现在
of	5	ɒv	ʌv	……的
often	600	ˈɒfən	ˈɔːfən	经常
old	220	əʊld	oʊld	老的
on	16	ɒn	ɑːn	在上面
open	520	ˈəʊpən	ˈoʊpən	打开
order	900	ˈɔːdə	ˈɔːrdər	点(餐)
outside	800	ˌaʊtˈsaɪd	ˌaʊtˈsaɪd	外面
over	260	ˈəʊvə	ˈoʊvər	在上方
pen	500	pen	pen	钢笔
person	145	ˈpɜːsən	ˈpɜːrsən	人
please	440	pliːz	pliːz	请
rain	1000	reɪn	reɪn	下雨
read	320	riːd	riːd	读
red	700	red	red	红色的
room	300	ruːm	ruːm	房间
run	360	rʌn	rʌn	跑
sale	1000	seɪl	seɪl	特卖
school	160	skuːl	skuːl	学校
see	55	siː	siː	看见
seven	490	ˈsevən	ˈsevən	七
she	20	ʃiː	ʃiː	她
shirt	1000	ʃɜːt	ʃɜːrt	衬衫
shoe	950	ʃuː	ʃuː	鞋
sing	800	sɪŋ	sɪŋ	唱歌
sister	420	ˈsɪstə	ˈsɪstər	姐妹
some	85	sʌm	sʌm	一些
song	750	sɒŋ	sɔːŋ	歌曲
sorry	700	ˈsɒri	ˈsɑːri	抱歉的
sport	470	spɔːt	spɔːrt	运动
spring	1200	sprɪŋ	sprɪŋ	春天
station	950	ˈsteɪʃən	ˈsteɪʃən	车站
stop	550	stɒp	stɑːp	停
store	800	stɔː	stɔːr	商店
straight	1000	streɪt	streɪt	直的
student	230	ˈstjuːdənt	ˈstuːdənt	学生
table	560	ˈteɪbəl	ˈteɪbəl	桌子
taste	1300	teɪst	teɪst	尝起来
tea	1000	tiː	tiː	茶
teacher	250	ˈtiːtʃə	ˈtiːtʃər	老师
ten	440	ten	ten	十
than	105	ðæn	ðæn	比
the	7	ðə	ðə	这(个)
there	66	ðeə	ðer	那里
this	15	ðɪs	ðɪs	这个
to	11	tuː	tuː	到
today	390	təˈdeɪ	təˈdeɪ	今天
tomorrow	800	təˈmɒrəʊ	təˈmɔːroʊ	明天
too	125	tuː	tuː	也
try	310	traɪ	traɪ	尝试
turn	480	tɜːn	tɜːrn	转弯
tv	900	ˌtiːˈviː	ˌtiːˈviː	电视
two	115	tuː	tuː	二
very	80	ˈveri	ˈveri	非常
visit	1050	ˈvɪzɪt	ˈvɪzɪt	拜访
watch	500	wɒtʃ	wɑːtʃ	观看
we	13	wiː	wiː	我们
weekend	1000	ˌwiːkˈend	ˈwiːkend	周末
well	135	wel	wel	好地
where	175	weə	wer	哪里
window	850	ˈwɪndəʊ	ˈwɪndoʊ	窗户
with	17	wɪð	wɪð	和……一起
would	48	wʊd	wʊd	将会(客气)
year	88	jɪə	jɪr	年
yesterday	850	ˈjestədeɪ	ˈjestərdeɪ	昨天
you	3	juː	juː	你

that	13			
as	17			
he	18			
they	22			
but	23			
by	25			
will	26			
or	27			
his	28			
say	29			
so	32			
all	33			
about	34			
if	35			
one	36			
know	38			
which	40			
her	43			
think	45			
more	47			
their	48			
your	49			
when	50			
what	51			
make	52			
time	53			
who	54			
up	56			
people	57			
out	59			
other	62			
our	65			
just	67			
them	68			
no	69			
take	70			
because	71			
use	74			
work	75			
then	76			
also	78			
him	80			
into	81			
only	82			
want	83			
these	85			
its	86			
first	89			
way	90			
thing	91			
any	92			
right	94			
after	95			
find	96			
most	99			
should	100			
back	104			
mean	105			
